Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score,Stress_Num,Risk_Index,Risk_Level,En_Riesgo,Usage_Level,Sleep_Deficit,Unlocks_Per_Hour,Study_Usage_Ratio
19,Female,USA,Undergraduate,Instagram,Entertainment,8.5,257,1.0,0.5,3.8,Very High,5.0,3,0.89,Alto,True,Muy alto,True,30.2,0.12
21,Male,Mexico,Undergraduate,WhatsApp,Entertainment,7.3,211,1.0,1.5,4.9,Very High,6.0,3,0.833,Alto,True,Muy alto,True,28.9,0.14
20,Female,France,Undergraduate,Instagram,Entertainment,2.8,104,5.3,2.4,9.2,Low,7.0,0,0.262,Bajo,False,Bajo,False,37.1,1.89
22,Male,Canada,Undergraduate,TikTok,Entertainment,3.6,142,3.7,1.5,8.6,Medium,6.0,1,0.497,Medio,False,Bajo,False,39.4,1.03
19,Female,Brazil,Undergraduate,WhatsApp,Education,6.2,198,1.0,1.4,6.3,Very High,6.0,3,0.833,Alto,True,Alto,False,31.9,0.16
21,Male,China,Undergraduate,WeChat,Entertainment,4.5,145,2.7,2.6,7.8,High,7.0,2,0.593,Medio,False,Moderado,False,32.2,0.6
20,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.8,151,3.7,2.9,8.2,Medium,8.0,1,0.382,Bajo,False,Bajo,False,39.7,0.97
22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.7,146,2.4,2.2,7.5,High,7.0,2,0.605,Medio,False,Moderado,False,31.1,0.51
19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.1,160,3.0,1.1,7.0,Medium,6.0,1,0.527,Medio,False,Alto,False,31.4,0.59
21,Male,Malaysia,Undergraduate,WhatsApp,Networking,5.5,180,3.1,1.9,6.8,High,6.0,2,0.634,Medio,False,Alto,False,32.7,0.56
20,Female,UAE,Undergraduate,Instagram,Entertainment,6.5,188,1.0,1.8,6.5,Very High,5.0,3,0.89,Alto,True,Muy alto,False,28.9,0.15
22,Male,Poland,Undergraduate,Facebook,Networking,4.2,145,3.8,2.3,7.9,High,7.0,2,0.547,Medio,False,Moderado,False,34.5,0.9
19,Female,India,Undergraduate,WhatsApp,Education,6.8,231,1.0,1.7,6.0,Very High,5.0,3,0.89,Alto,True,Muy alto,False,34.0,0.15
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.8,182,3.5,2.0,7.4,Medium,7.0,1,0.448,Bajo,False,Moderado,False,37.9,0.73
20,Female,Brazil,Undergraduate,Instagram,Entertainment,6.1,211,1.9,1.4,6.4,Very High,6.0,3,0.795,Alto,True,Alto,False,34.6,0.31
22,Male,China,Undergraduate,WeChat,Education,4.4,147,2.4,1.6,7.9,Medium,7.0,1,0.494,Medio,False,Moderado,False,33.4,0.55
19,Female,Netherlands,Undergraduate,TikTok,Entertainment,3.7,119,3.3,1.1,8.3,High,8.0,2,0.51,Medio,False,Bajo,False,32.2,0.89
21,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.6,172,3.4,2.0,7.6,Medium,7.0,1,0.452,Bajo,False,Moderado,False,37.4,0.74
20,Female,Singapore,Undergraduate,TikTok,Entertainment,5.2,169,3.6,1.8,6.9,High,6.0,2,0.613,Medio,False,Alto,False,32.5,0.69
22,Male,Malaysia,Undergraduate,WhatsApp,Entertainment,5.6,194,1.0,1.9,6.7,High,6.0,2,0.722,Medio,False,Alto,False,34.6,0.18
19,Female,UAE,Undergraduate,Instagram,Entertainment,6.6,194,1.7,0.7,6.4,Very High,5.0,3,0.861,Alto,True,Muy alto,False,29.4,0.26
21,Male,Poland,Undergraduate,Facebook,Networking,4.1,153,4.9,2.3,8.0,High,7.0,2,0.501,Medio,False,Moderado,False,37.3,1.2
20,Female,India,Undergraduate,WhatsApp,Networking,6.9,220,1.0,2.3,5.9,Very High,5.0,3,0.89,Alto,True,Muy alto,True,31.9,0.14
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.7,178,3.7,1.9,7.5,Medium,7.0,1,0.44,Bajo,False,Moderado,False,37.9,0.79
19,Female,Brazil,Undergraduate,WhatsApp,Networking,6.0,179,1.4,1.5,6.5,Very High,6.0,3,0.816,Alto,True,Alto,False,29.8,0.23
21,Male,China,Undergraduate,WeChat,News,4.3,148,3.6,2.1,8.0,Medium,7.0,1,0.444,Bajo,False,Moderado,False,34.4,0.84
20,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.6,154,3.1,3.1,8.4,Medium,8.0,1,0.408,Bajo,False,Bajo,False,42.8,0.86
22,Male,New Zealand,Undergraduate,Facebook,Networking,4.5,152,1.6,1.4,7.7,High,7.0,2,0.639,Medio,False,Moderado,False,33.8,0.36
19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.3,183,3.5,1.8,6.8,High,6.0,2,0.617,Medio,False,Alto,False,34.5,0.66
21,Male,Malaysia,Undergraduate,WhatsApp,Education,5.7,173,1.5,1.2,6.6,High,6.0,2,0.701,Medio,False,Alto,False,30.4,0.26
20,Female,UAE,Undergraduate,Instagram,Entertainment,6.7,221,1.0,1.1,6.3,Very High,5.0,3,0.89,Alto,True,Muy alto,False,33.0,0.15
22,Male,Poland,Undergraduate,Facebook,Networking,4.0,136,2.9,2.0,8.1,Low,7.0,0,0.362,Bajo,False,Moderado,False,34.0,0.72
19,Female,India,Undergraduate,WhatsApp,Entertainment,7.0,222,1.0,1.9,5.8,Very High,5.0,3,0.89,Alto,True,Muy alto,True,31.7,0.14
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.6,175,3.3,2.8,7.6,Medium,7.0,1,0.457,Bajo,False,Moderado,False,38.0,0.72
20,Female,Brazil,Undergraduate,TikTok,Entertainment,5.9,198,1.5,1.7,6.6,High,6.0,2,0.701,Medio,False,Alto,False,33.6,0.25
22,Male,China,Undergraduate,WeChat,News,4.2,148,4.1,1.8,8.1,Medium,7.0,1,0.423,Bajo,False,Moderado,False,35.2,0.98
19,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.5,119,4.9,3.4,8.5,Low,8.0,0,0.221,Bajo,False,Bajo,False,34.0,1.4
21,Male,New Zealand,Undergraduate,Facebook,Networking,4.4,148,3.9,1.7,7.8,Medium,7.0,1,0.431,Bajo,False,Moderado,False,33.6,0.89
20,Female,Singapore,Undergraduate,TikTok,Entertainment,5.4,193,2.8,1.4,6.7,High,6.0,2,0.646,Medio,False,Alto,False,35.7,0.52
22,Male,Malaysia,Undergraduate,WhatsApp,Networking,5.8,178,3.5,0.7,6.5,Medium,6.0,1,0.506,Medio,False,Alto,False,30.7,0.6
19,Female,UAE,Undergraduate,Instagram,Entertainment,6.8,221,1.0,2.0,6.2,High,5.0,2,0.779,Alto,True,Muy alto,False,32.5,0.15
21,Male,Poland,Undergraduate,Facebook,Networking,3.9,141,4.1,2.5,8.2,Low,7.0,0,0.312,Bajo,False,Moderado,False,36.2,1.05
20,Female,India,Undergraduate,WhatsApp,Networking,7.1,214,1.8,2.4,5.7,Very High,5.0,3,0.857,Alto,True,Muy alto,True,30.1,0.25
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.5,165,4.5,1.2,7.7,Medium,7.0,1,0.406,Bajo,False,Moderado,False,36.7,1.0
19,Female,Brazil,Undergraduate,WhatsApp,Entertainment,5.8,184,1.1,2.3,6.7,High,6.0,2,0.717,Medio,False,Alto,False,31.7,0.19
21,Male,China,Undergraduate,WeChat,Education,4.1,138,3.7,2.0,8.2,High,7.0,2,0.551,Medio,False,Moderado,False,33.7,0.9
20,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.4,131,5.7,2.6,8.6,Medium,8.0,1,0.298,Bajo,False,Bajo,False,38.5,1.68
22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.3,162,4.1,1.1,7.9,Low,7.0,0,0.312,Bajo,False,Moderado,False,37.7,0.95
19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.5,196,2.7,2.4,6.6,High,6.0,2,0.65,Medio,False,Alto,False,35.6,0.49
21,Male,Malaysia,Undergraduate,WhatsApp,News,5.9,197,1.9,1.9,6.4,High,6.0,2,0.684,Medio,False,Alto,False,33.4,0.32
20,Female,UAE,Undergraduate,Instagram,Entertainment,6.9,223,1.0,1.3,6.1,High,5.0,2,0.779,Alto,True,Muy alto,False,32.3,0.14
22,Male,Poland,Undergraduate,Facebook,Networking,3.8,151,4.4,2.4,8.3,Medium,7.0,1,0.41,Bajo,False,Bajo,False,39.7,1.16
19,Female,India,Undergraduate,WhatsApp,News,7.2,215,1.0,0.8,5.6,Very High,5.0,3,0.89,Alto,True,Muy alto,True,29.9,0.14
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.4,145,3.6,1.6,7.8,Medium,7.0,1,0.444,Bajo,False,Moderado,False,33.0,0.82
20,Female,Brazil,Undergraduate,TikTok,Entertainment,5.7,186,2.4,1.3,6.8,High,6.0,2,0.663,Medio,False,Alto,False,32.6,0.42
22,Male,China,Undergraduate,WeChat,Education,4.0,150,3.5,1.1,8.3,Medium,7.0,1,0.448,Bajo,False,Moderado,False,37.5,0.88
19,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.3,132,5.1,2.6,8.7,Low,8.0,0,0.213,Bajo,False,Bajo,False,40.0,1.55
21,Male,New Zealand,Undergraduate,Facebook,Networking,4.2,136,6.1,2.5,8.0,Medium,7.0,1,0.339,Bajo,False,Moderado,False,32.4,1.45
20,Female,Singapore,Undergraduate,TikTok,Entertainment,5.6,196,1.0,1.2,6.5,High,6.0,2,0.722,Medio,False,Alto,False,35.0,0.18
22,Male,Malaysia,Undergraduate,WhatsApp,News,6.0,189,2.3,1.7,6.3,High,6.0,2,0.667,Medio,False,Alto,False,31.5,0.38
19,Female,UAE,Undergraduate,Instagram,Entertainment,7.0,235,1.0,1.1,6.0,Very High,5.0,3,0.89,Alto,True,Muy alto,False,33.6,0.14
21,Male,Poland,Undergraduate,Facebook,Networking,3.7,145,4.8,2.2,8.4,Medium,7.0,1,0.394,Bajo,False,Bajo,False,39.2,1.3
20,Female,India,Undergraduate,WhatsApp,News,7.3,246,1.0,0.9,5.5,Very High,5.0,3,0.89,Alto,True,Muy alto,True,33.7,0.14
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.3,157,4.3,1.5,7.9,Medium,7.0,1,0.415,Bajo,False,Moderado,False,36.5,1.0
19,Female,Brazil,Undergraduate,WhatsApp,Education,5.6,186,3.3,2.1,6.9,High,6.0,2,0.625,Medio,False,Alto,False,33.2,0.59
21,Male,China,Undergraduate,WeChat,News,3.9,129,4.3,2.0,8.4,Medium,7.0,1,0.415,Bajo,False,Moderado,False,33.1,1.1
20,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.2,120,5.7,3.2,8.8,Low,8.0,0,0.187,Bajo,False,Bajo,False,37.5,1.78
22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.1,161,2.0,2.0,8.1,Medium,7.0,1,0.511,Medio,False,Moderado,False,39.3,0.49
19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.7,182,3.6,1.1,6.4,Very High,6.0,3,0.724,Medio,False,Alto,False,31.9,0.63
21,Male,Malaysia,Undergraduate,WhatsApp,Education,6.1,179,2.2,2.1,6.2,High,6.0,2,0.671,Medio,False,Alto,False,29.3,0.36
20,Female,UAE,Undergraduate,Instagram,Entertainment,7.1,211,1.8,1.5,5.9,Very High,5.0,3,0.857,Alto,True,Muy alto,True,29.7,0.25
22,Male,Poland,Undergraduate,Facebook,Networking,3.6,138,3.4,2.5,8.5,Medium,7.0,1,0.452,Bajo,False,Bajo,False,38.3,0.94
19,Female,India,Undergraduate,WhatsApp,Entertainment,7.4,235,1.0,1.7,5.4,Very High,5.0,3,0.89,Alto,True,Muy alto,True,31.8,0.14
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.2,169,3.9,1.6,8.0,High,7.0,2,0.543,Medio,False,Moderado,False,40.2,0.93
20,Female,Spain,Undergraduate,Instagram,Entertainment,6.1,214,1.9,1.4,7.2,High,5.0,2,0.741,Medio,False,Alto,False,35.1,0.31
23,Male,Denmark,Graduate,Twitter,News,3.8,141,4.4,2.0,7.8,Medium,8.0,1,0.353,Bajo,False,Bajo,False,37.1,1.16
19,Female,Ireland,Undergraduate,TikTok,Entertainment,5.5,184,3.4,1.0,6.8,High,6.0,2,0.621,Medio,False,Alto,False,33.5,0.62
22,Male,India,Undergraduate,Facebook,Networking,7.2,237,1.0,1.1,5.9,Very High,4.0,3,0.948,Alto,True,Muy alto,True,32.9,0.14
21,Female,Switzerland,Undergraduate,Instagram,Entertainment,4.2,131,4.6,2.6,7.5,Medium,7.0,1,0.402,Bajo,False,Moderado,False,31.2,1.1
24,Male,Turkey,Graduate,TikTok,Entertainment,6.8,218,1.2,1.4,6.2,Very High,5.0,3,0.882,Alto,True,Muy alto,False,32.1,0.18
20,Female,USA,Undergraduate,Instagram,Entertainment,5.9,190,1.9,0.9,6.7,High,6.0,2,0.684,Medio,False,Alto,False,32.2,0.32
22,Male,Mexico,Undergraduate,Facebook,Networking,6.5,218,1.0,0.6,6.1,Very High,5.0,3,0.89,Alto,True,Muy alto,False,33.5,0.15
19,Female,France,Undergraduate,Twitter,News,4.7,174,3.7,2.7,7.4,Medium,7.0,1,0.44,Bajo,False,Moderado,False,37.0,0.79
23,Male,Canada,Graduate,Instagram,Entertainment,5.2,181,1.0,1.7,7.0,High,6.0,2,0.722,Medio,False,Alto,False,34.8,0.19
21,Female,UK,Undergraduate,TikTok,Entertainment,6.3,208,2.2,1.1,6.4,Medium,5.0,1,0.618,Medio,False,Alto,False,33.0,0.35
24,Male,Italy,Graduate,Facebook,Networking,4.9,174,1.9,1.6,7.3,High,7.0,2,0.626,Medio,False,Moderado,False,35.5,0.39
20,Female,Russia,Undergraduate,Instagram,Entertainment,6.7,215,1.3,0.6,6.0,Very High,5.0,3,0.878,Alto,True,Muy alto,False,32.1,0.19
22,Male,China,Undergraduate,WeChat,Networking,5.8,179,2.1,2.3,6.5,Very High,6.0,3,0.787,Alto,True,Alto,False,30.9,0.36
19,Female,Japan,Undergraduate,Twitter,News,4.5,148,4.4,1.7,7.6,High,8.0,2,0.464,Bajo,False,Moderado,False,32.9,0.98
23,Male,Poland,Graduate,Facebook,Networking,6.4,214,1.5,2.1,6.3,Very High,5.0,3,0.869,Alto,True,Muy alto,False,33.4,0.23
21,Female,Finland,Undergraduate,Instagram,Entertainment,4.1,151,3.3,2.0,7.7,Medium,7.0,1,0.457,Bajo,False,Moderado,False,36.8,0.8
24,Male,Spain,Graduate,TikTok,Entertainment,6.6,199,1.0,2.1,6.2,High,5.0,2,0.779,Alto,True,Muy alto,False,30.2,0.15
20,Female,Denmark,Undergraduate,Instagram,Entertainment,4.4,170,4.6,2.0,7.4,High,7.0,2,0.513,Medio,False,Moderado,False,38.6,1.05
22,Male,Ireland,Undergraduate,Twitter,News,5.7,206,2.7,2.0,6.8,High,6.0,2,0.65,Medio,False,Alto,False,36.1,0.47
19,Female,India,Undergraduate,Instagram,Entertainment,7.0,225,1.0,1.6,5.8,Very High,4.0,3,0.948,Alto,True,Muy alto,True,32.1,0.14
23,Male,Switzerland,Graduate,Facebook,Networking,4.3,141,3.5,2.2,7.5,Medium,7.0,1,0.448,Bajo,False,Moderado,False,32.8,0.81
21,Female,Turkey,Undergraduate,TikTok,Entertainment,6.9,234,1.0,1.4,6.1,Very High,5.0,3,0.89,Alto,True,Muy alto,False,33.9,0.14
24,Male,USA,Graduate,Instagram,Entertainment,5.6,174,2.7,1.5,6.9,High,6.0,2,0.65,Medio,False,Alto,False,31.1,0.48
20,Female,Mexico,Undergraduate,Facebook,Networking,6.2,197,1.0,2.4,6.3,Very High,5.0,3,0.89,Alto,True,Alto,False,31.8,0.16
21,Male,France,Undergraduate,Instagram,Entertainment,5.8,204,2.8,1.1,6.7,High,6.0,2,0.646,Medio,False,Alto,False,35.2,0.48
23,Female,Canada,Graduate,TikTok,Entertainment,4.9,167,3.2,1.8,7.3,High,7.0,2,0.572,Medio,False,Moderado,False,34.1,0.65
20,Male,UK,Undergraduate,Facebook,Networking,6.4,194,3.5,1.4,6.2,High,5.0,2,0.674,Medio,False,Muy alto,False,30.3,0.55
22,Female,Italy,Undergraduate,Twitter,News,5.1,155,2.0,1.9,7.1,High,7.0,2,0.622,Medio,False,Alto,False,30.4,0.39
19,Male,Russia,Undergraduate,Instagram,Entertainment,6.7,206,1.2,1.1,6.0,Very High,4.0,3,0.939,Alto,True,Muy alto,False,30.7,0.18
24,Female,China,Graduate,WeChat,Networking,5.5,188,3.9,1.8,6.8,High,6.0,2,0.6,Medio,False,Alto,False,34.2,0.71
21,Male,Japan,Undergraduate,Twitter,News,4.3,160,4.7,1.8,7.6,Medium,8.0,1,0.34,Bajo,False,Moderado,False,37.2,1.09
23,Female,Poland,Graduate,Instagram,Entertainment,6.2,188,1.2,0.7,6.4,High,5.0,2,0.771,Alto,True,Alto,False,30.3,0.19
20,Male,Finland,Undergraduate,Facebook,Networking,4.5,143,3.7,1.9,7.4,High,7.0,2,0.551,Medio,False,Moderado,False,31.8,0.82
22,Female,Spain,Undergraduate,TikTok,Entertainment,6.3,210,1.7,0.9,6.3,Very High,5.0,3,0.861,Alto,True,Alto,False,33.3,0.27
19,Male,Denmark,Undergraduate,Instagram,Entertainment,4.7,148,3.5,1.0,7.2,Medium,7.0,1,0.448,Bajo,False,Moderado,False,31.5,0.74
24,Female,Ireland,Graduate,Twitter,News,5.9,174,1.5,1.6,6.6,High,6.0,2,0.701,Medio,False,Alto,False,29.5,0.25
21,Male,India,Undergraduate,Facebook,Networking,7.1,221,1.0,1.5,5.7,Very High,4.0,3,0.948,Alto,True,Muy alto,True,31.1,0.14
23,Female,Switzerland,Graduate,Instagram,Entertainment,4.4,157,2.3,2.2,7.4,Medium,7.0,1,0.499,Medio,False,Moderado,False,35.7,0.52
20,Male,Turkey,Undergraduate,TikTok,Entertainment,6.6,199,1.5,1.6,6.2,Very High,5.0,3,0.869,Alto,True,Muy alto,False,30.2,0.23
22,Female,USA,Undergraduate,Instagram,Entertainment,5.4,168,3.0,0.7,6.9,High,6.0,2,0.638,Medio,False,Alto,False,31.1,0.56
19,Male,Mexico,Undergraduate,Facebook,Networking,6.5,196,1.3,0.7,6.1,Very High,5.0,3,0.878,Alto,True,Muy alto,False,30.2,0.2
24,Female,France,Graduate,Twitter,News,4.8,158,1.9,2.8,7.3,Medium,7.0,1,0.515,Medio,False,Moderado,False,32.9,0.4
21,Male,Canada,Undergraduate,Instagram,Entertainment,5.7,167,3.1,1.1,6.7,High,6.0,2,0.634,Medio,False,Alto,False,29.3,0.54
23,Female,UK,Graduate,TikTok,Entertainment,6.1,177,2.2,1.8,6.4,Very High,5.0,3,0.84,Alto,True,Alto,False,29.0,0.36
20,Male,Italy,Undergraduate,Facebook,Networking,4.6,154,2.8,1.5,7.2,High,7.0,2,0.589,Medio,False,Moderado,False,33.5,0.61
22,Female,Russia,Undergraduate,Instagram,Entertainment,6.8,195,1.0,1.3,5.9,High,4.0,2,0.837,Alto,True,Muy alto,True,28.7,0.15
19,Male,China,Undergraduate,WeChat,Entertainment,5.6,177,1.2,1.3,6.8,High,6.0,2,0.713,Medio,False,Alto,False,31.6,0.21
24,Female,Japan,Graduate,Twitter,News,4.2,153,3.0,2.2,7.5,Medium,8.0,1,0.412,Bajo,False,Moderado,False,36.4,0.71
21,Male,Poland,Undergraduate,TikTok,Entertainment,6.3,183,1.3,1.5,6.3,High,5.0,2,0.767,Alto,True,Alto,False,29.0,0.21
23,Female,Finland,Graduate,Instagram,Entertainment,4.4,159,4.6,1.7,7.4,Medium,7.0,1,0.402,Bajo,False,Moderado,False,36.1,1.05
20,Male,Spain,Undergraduate,Facebook,Networking,6.5,211,1.0,0.8,6.2,Very High,5.0,3,0.89,Alto,True,Muy alto,False,32.5,0.15
22,Female,Denmark,Undergraduate,Twitter,News,4.6,162,3.9,2.0,7.3,High,7.0,2,0.543,Medio,False,Moderado,False,35.2,0.85
19,Male,Ireland,Undergraduate,Instagram,Entertainment,5.8,195,1.8,0.9,6.6,High,6.0,2,0.688,Medio,False,Alto,False,33.6,0.31
24,Female,India,Graduate,TikTok,Entertainment,7.0,232,1.2,1.5,5.8,Very High,4.0,3,0.939,Alto,True,Muy alto,True,33.1,0.17
21,Male,Switzerland,Undergraduate,Facebook,Networking,4.5,139,3.4,3.2,7.3,High,7.0,2,0.564,Medio,False,Moderado,False,30.9,0.76
23,Female,Turkey,Graduate,Instagram,Entertainment,6.7,198,2.0,2.0,6.1,Very High,5.0,3,0.848,Alto,True,Muy alto,False,29.6,0.3
20,Male,USA,Undergraduate,Twitter,News,5.5,174,2.1,2.0,6.8,High,6.0,2,0.675,Medio,False,Alto,False,31.6,0.38
22,Female,Mexico,Undergraduate,Facebook,Networking,6.4,212,1.0,1.4,6.2,High,5.0,2,0.779,Alto,True,Muy alto,False,33.1,0.16
19,Male,France,Undergraduate,Instagram,Entertainment,4.7,176,2.2,0.9,7.2,Medium,7.0,1,0.503,Medio,False,Moderado,False,37.4,0.47
24,Female,Canada,Graduate,TikTok,Entertainment,5.6,201,2.0,0.9,6.7,High,6.0,2,0.68,Medio,False,Alto,False,35.9,0.36
21,Male,UK,Undergraduate,Facebook,Networking,6.2,203,1.0,2.1,6.3,High,5.0,2,0.779,Alto,True,Alto,False,32.7,0.16
23,Female,Italy,Graduate,Twitter,News,4.8,161,3.5,1.4,7.1,High,7.0,2,0.559,Medio,False,Moderado,False,33.5,0.73
20,Male,Russia,Undergraduate,Instagram,Entertainment,6.9,213,1.0,0.9,5.9,Very High,4.0,3,0.948,Alto,True,Muy alto,True,30.9,0.14
22,Female,China,Undergraduate,WeChat,News,5.7,169,4.2,1.5,6.7,High,6.0,2,0.587,Medio,False,Alto,False,29.6,0.74
19,Male,Japan,Undergraduate,Twitter,News,4.4,153,2.2,1.4,7.4,High,8.0,2,0.556,Medio,False,Moderado,False,34.8,0.5
24,Female,Poland,Graduate,TikTok,Entertainment,6.1,197,2.1,0.9,6.4,Very High,5.0,3,0.844,Alto,True,Alto,False,32.3,0.34
21,Male,Finland,Undergraduate,Instagram,Entertainment,4.3,140,2.8,1.9,7.5,Medium,7.0,1,0.478,Bajo,False,Moderado,False,32.6,0.65
23,Female,Spain,Graduate,Facebook,Networking,6.4,215,1.2,1.0,6.2,Very High,5.0,3,0.882,Alto,True,Muy alto,False,33.6,0.19
20,Male,Denmark,Undergraduate,Twitter,News,4.5,169,3.6,1.5,7.3,Low,7.0,0,0.333,Bajo,False,Moderado,False,37.6,0.8
22,Female,Ireland,Undergraduate,Instagram,Entertainment,5.9,184,1.0,1.1,6.5,High,6.0,2,0.722,Medio,False,Alto,False,31.2,0.17
19,Male,India,Undergraduate,TikTok,Entertainment,7.2,241,1.0,1.5,5.7,Very High,4.0,3,0.948,Alto,True,Muy alto,True,33.5,0.14
24,Female,Switzerland,Graduate,Facebook,Networking,4.6,144,4.9,1.7,7.2,High,7.0,2,0.501,Medio,False,Moderado,False,31.3,1.07
21,Male,Turkey,Undergraduate,Instagram,Entertainment,6.8,231,1.0,1.2,6.0,Very High,5.0,3,0.89,Alto,True,Muy alto,False,34.0,0.15
23,Female,USA,Graduate,Twitter,News,5.3,187,2.9,2.0,6.8,High,6.0,2,0.642,Medio,False,Alto,False,35.3,0.55
22,Male,Mexico,Undergraduate,Facebook,Networking,6.3,190,2.5,1.4,6.2,Very High,5.0,3,0.827,Alto,True,Alto,False,30.2,0.4
20,Female,France,Undergraduate,Instagram,Entertainment,4.8,171,3.1,1.7,7.1,High,7.0,2,0.576,Medio,False,Moderado,False,35.6,0.65
23,Male,Canada,Graduate,TikTok,Entertainment,5.7,179,1.8,1.8,6.6,Very High,6.0,3,0.799,Alto,True,Alto,False,31.4,0.32
21,Female,UK,Undergraduate,Twitter,News,6.2,211,1.0,1.8,6.3,Very High,5.0,3,0.89,Alto,True,Alto,False,34.0,0.16
24,Male,Italy,Graduate,Facebook,Networking,4.7,148,3.8,1.8,7.2,Medium,7.0,1,0.436,Bajo,False,Moderado,False,31.5,0.81
19,Female,Russia,Undergraduate,Instagram,Entertainment,6.8,204,1.1,1.3,5.9,Very High,4.0,3,0.943,Alto,True,Muy alto,True,30.0,0.16
22,Male,China,Undergraduate,WeChat,Entertainment,5.6,177,1.6,1.2,6.7,High,6.0,2,0.696,Medio,False,Alto,False,31.6,0.29
20,Female,Japan,Undergraduate,Twitter,News,4.3,139,3.8,1.5,7.5,High,8.0,2,0.489,Medio,False,Moderado,False,32.3,0.88
23,Male,Poland,Graduate,TikTok,Entertainment,6.2,193,1.3,1.8,6.3,High,5.0,2,0.767,Alto,True,Alto,False,31.1,0.21
21,Female,Finland,Undergraduate,Instagram,Entertainment,4.4,159,3.2,2.1,7.4,Medium,7.0,1,0.461,Bajo,False,Moderado,False,36.1,0.73
24,Male,Spain,Graduate,Facebook,Networking,6.5,212,2.0,1.6,6.1,Very High,5.0,3,0.848,Alto,True,Muy alto,False,32.6,0.31
19,Female,Denmark,Undergraduate,Twitter,News,4.6,162,2.3,2.0,7.3,Medium,7.0,1,0.499,Medio,False,Moderado,False,35.2,0.5
22,Male,Ireland,Undergraduate,Instagram,Entertainment,5.8,177,3.0,1.6,6.6,Very High,6.0,3,0.749,Medio,False,Alto,False,30.5,0.52
20,Female,India,Undergraduate,TikTok,Entertainment,7.1,210,1.0,1.6,5.8,Very High,4.0,3,0.948,Alto,True,Muy alto,True,29.6,0.14
23,Male,Switzerland,Graduate,Facebook,Networking,4.5,173,3.0,2.3,7.3,High,7.0,2,0.58,Medio,False,Moderado,False,38.4,0.67
21,Female,Turkey,Undergraduate,Instagram,Entertainment,6.7,202,2.8,1.8,6.0,Very High,5.0,3,0.815,Alto,True,Muy alto,False,30.1,0.42
24,Male,USA,Graduate,Twitter,News,5.4,164,3.5,1.6,6.8,High,6.0,2,0.617,Medio,False,Alto,False,30.4,0.65
19,Female,Mexico,Undergraduate,TikTok,Entertainment,6.4,203,1.7,2.1,6.2,High,5.0,2,0.75,Medio,False,Muy alto,False,31.7,0.27
22,Male,France,Undergraduate,Facebook,Networking,4.7,142,2.5,1.9,7.2,Medium,7.0,1,0.49,Medio,False,Moderado,False,30.2,0.53
20,Female,Canada,Undergraduate,Instagram,Entertainment,5.6,178,2.0,1.9,6.7,High,6.0,2,0.68,Medio,False,Alto,False,31.8,0.36
23,Male,UK,Graduate,Twitter,News,6.3,216,1.8,1.6,6.2,Very High,5.0,3,0.857,Alto,True,Alto,False,34.3,0.29
21,Female,Italy,Undergraduate,TikTok,Entertainment,4.8,155,3.2,1.9,7.1,High,7.0,2,0.572,Medio,False,Moderado,False,32.3,0.67
24,Male,Russia,Graduate,Instagram,Entertainment,6.9,225,1.0,0.9,5.9,Very High,4.0,3,0.948,Alto,True,Muy alto,True,32.6,0.14
19,Female,China,Undergraduate,WeChat,News,5.7,186,2.3,1.9,6.7,High,6.0,2,0.667,Medio,False,Alto,False,32.6,0.4
22,Male,Japan,Undergraduate,Twitter,News,4.4,149,3.4,3.3,7.4,Medium,8.0,1,0.395,Bajo,False,Moderado,False,33.9,0.77
20,Female,Poland,Undergraduate,Facebook,Networking,6.1,203,1.0,1.3,6.4,Very High,5.0,3,0.89,Alto,True,Alto,False,33.3,0.16
23,Male,Finland,Graduate,Instagram,Entertainment,4.3,155,3.3,2.0,7.5,Medium,7.0,1,0.457,Bajo,False,Moderado,False,36.0,0.77
21,Female,Spain,Undergraduate,TikTok,Entertainment,6.4,197,2.3,1.2,6.2,High,5.0,2,0.725,Medio,False,Muy alto,False,30.8,0.36
